tf
-10.00734
-10.55602
-10.7736
-10.7736
-10.92496
-11.45472
-11.70068
-11.70068
-11.9561
-11.99394
-11.99394
-12.15476
-12.46694
-12.5237
-12.53316
-12.6183
-12.64668
-12.74128
-12.74128
-12.89264
-12.89264
-12.92102
-12.9494
-13.00616
-13.00616
-13.07238
-13.22374
-13.2332
-13.31834
-13.34672
-13.4697
-13.53592
-13.60214
-13.63052
-13.6589
-13.68728
-13.87648
-14.01838
-14.01838
-14.05622
-14.05622
-14.0846
-14.11298
-14.2738
-14.35894
-14.38732
-14.39678
-14.44408
-14.44408
-14.45354
-14.45354
-14.56706
-14.59544
-14.61436
-14.67112
-14.67112
-14.75626
-14.8887
-14.90762
-15.01168
-15.04006
-15.04006
-15.09682
-15.09682
-15.28602
-15.38062
-15.43738
-15.49414
-15.5982
-15.6455
-15.6455
-15.6455
-15.65496
-15.98606
-15.98606
-15.99552
-16.1185
-16.14688
-16.51582
-16.6388
-16.6388
-16.79016
-16.88476
-16.88476
-16.88476
-17.0645
-17.14964
-17.31046
-17.71724
-17.71724
-18.26592
-18.5308
-18.84298
